user_id,timestamp,timestamp_end,sequence_id,mean_hr_bpm,hr_std_bpm,hr_min_bpm,hr_max_bpm,hr_range_bpm,hr_slope_bpm_per_s,nn_quality_ratio,sdnn_ms,rmssd_ms,pnn50_pct,mean_nn_ms,cv_nn,lf_power_ms2,hf_power_ms2,lf_hf_ratio,total_power_ms2,spo2_mean_pct,spo2_min_pct,spo2_std_pct,accel_x_mean,accel_y_mean,accel_z_mean,accel_x_var,accel_y_var,accel_z_var,accel_mag_mean,accel_mag_var,accel_peak,total_steps,cadence_spm,activity_label,fatigue_level,rpe_raw
oIrIvY9oZBW0ReTkEPBI5AE5kNC2,1774327225907,1774327255902,W0_1774327195913,73.8252,8.0225,60.0000,100.0000,40.0000,0.0607,0.9324,84.8436,74.1646,27.9412,821.8696,0.1032,1467.3483,4970.9939,0.2952,6438.3422,95.7020,67.5994,6.1967,-1.5595,-0.9088,9.3176,0.0124,0.0540,0.0041,9.4944,0.0034,9.8397,1,1.0002,Treadmill,0,0
oIrIvY9oZBW0ReTkEPBI5AE5kNC2,1774327240913,1774327270912,W1_1774327210913,73.9544,8.3955,62.5000,100.0000,37.5000,0.1983,0.9231,87.0377,69.7561,28.8136,821.1167,0.1060,4940.9482,4803.7979,1.0286,9744.7461,94.8376,78.9461,6.0834,-1.5495,-0.8548,9.3240,0.0114,0.0404,0.0037,9.4932,0.0032,9.7921,1,1.0001,Treadmill,0,0
oIrIvY9oZBW0ReTkEPBI5AE5kNC2,1774327255906,1774327285878,W2_1774327225913,75.5034,8.3814,65.2174,100.0000,34.7826,0.1338,0.9242,85.9691,67.9414,33.3333,804.1475,0.1069,5522.4534,5859.6464,0.9425,11382.0998,94.1125,73.6417,6.4166,-1.5331,-0.8848,9.3218,0.0124,0.0478,0.0042,9.4916,0.0034,9.7921,1,1.0010,Treadmill,0,0
oIrIvY9oZBW0ReTkEPBI5AE5kNC2,1774327270915,1774327300886,W3_1774327240913,77.1463,8.7735,60.0000,107.1429,47.1429,-0.1099,0.9265,86.9130,80.5525,41.9355,787.4921,0.1104,2192.1828,3833.5432,0.5718,6025.7260,94.8486,73.6420,5.6150,-1.5174,-0.9073,9.3236,0.0106,0.0512,0.0040,9.4930,0.0032,9.7921,1,1.0010,Treadmill,0,0
oIrIvY9oZBW0ReTkEPBI5AE5kNC2,1774327285912,1774327315883,W4_1774327255913,78.5461,10.0844,65.2174,107.1429,41.9255,0.2047,0.8841,90.4750,104.7697,45.0000,775.3279,0.1167,2027.0127,3102.7961,0.6533,5129.8087,91.8246,55.4769,8.6704,-0.9719,-2.0202,7.5877,2.5797,7.0329,19.4872,9.5696,0.1208,13.3899,13,13.0128,Treadmill,0,0
oIrIvY9oZBW0ReTkEPBI5AE5kNC2,1774327300916,1774327330880,W5_1774327270913,77.8183,10.7410,62.5000,107.1429,44.6429,0.0535,0.9359,97.3861,110.5831,48.6111,784.2740,0.1242,2115.8425,4348.7953,0.4865,6464.6378,92.4545,55.6080,8.1083,0.0447,-3.3506,5.1212,5.9458,12.0706,38.0170,9.6619,0.1364,13.3899,14,14.0168,Treadmill,0,0
oIrIvY9oZBW0ReTkEPBI5AE5kNC2,1774327315910,1774327345903,W6_1774327285913,79.2211,12.6238,62.5000,107.1429,44.6429,0.1602,0.8551,112.1164,127.9790,46.5517,775.0169,0.1447,1784.4724,5641.4154,0.3163,7425.8877,89.7154,50.0000,10.6634,0.0666,-4.5716,3.5077,10.0682,13.8554,39.2989,9.7794,0.7936,18.2257,28,28.0070,Treadmill,0,0
oIrIvY9oZBW0ReTkEPBI5AE5kNC2,1774327330914,1774327360902,W7_1774327300913,90.4051,15.0082,68.1818,115.3846,47.2028,0.5830,0.6892,113.2000,109.7114,46.0000,682.2941,0.1659,6085.8592,8082.8391,0.7529,14168.6983,87.5227,50.0000,9.8230,-0.5514,-5.8392,2.7316,13.1769,10.1911,32.5959,9.8450,0.9022,18.2257,48,48.0192,Treadmill,0,0
oIrIvY9oZBW0ReTkEPBI5AE5kNC2,1774327345904,1774327375885,W8_1774327315913,99.3946,17.5234,71.4286,125.0000,53.5714,1.0080,0.6867,118.1491,125.7693,57.1429,624.2456,0.1893,2814.1575,10616.5208,0.2651,13430.6783,86.4377,50.0000,8.3389,-0.3740,-7.9691,1.3544,23.9709,65.6514,23.8258,11.5772,44.8973,47.1668,75,75.0475,Treadmill,0,0
oIrIvY9oZBW0ReTkEPBI5AE5kNC2,1774327360911,1774327390902,W9_1774327330913,118.2144,17.7018,88.2353,150.0000,61.7647,0.5669,0.7677,79.4587,102.4808,53.3333,519.3026,0.1530,583.6183,3012.4730,0.1937,3596.0913,84.9222,50.0000,7.5927,-0.9163,-8.7829,1.7808,32.6086,113.3583,19.7867,12.9668,78.7671,49.7448,112,112.0336,Treadmill,0,0
