user_id,timestamp,timestamp_end,sequence_id,mean_hr_bpm,hr_std_bpm,hr_min_bpm,hr_max_bpm,hr_range_bpm,hr_slope_bpm_per_s,nn_quality_ratio,sdnn_ms,rmssd_ms,pnn50_pct,mean_nn_ms,cv_nn,lf_power_ms2,hf_power_ms2,lf_hf_ratio,total_power_ms2,spo2_mean_pct,spo2_min_pct,spo2_std_pct,accel_x_mean,accel_y_mean,accel_z_mean,accel_x_var,accel_y_var,accel_z_var,accel_mag_mean,accel_mag_var,accel_peak,total_steps,cadence_spm,activity_label,fatigue_level,rpe_raw
aIxt7rVo8JPl7CKHWwBNghHqDw72,1774318775068,1774318805056,W0_1774318745081,106.9630,14.2356,78.9474,136.3636,57.4163,-0.7746,0.8687,77.8828,81.8307,35.2941,571.1744,0.1364,421.9179,1306.4205,0.3230,1728.3384,81.9600,63.0100,6.7851,3.9506,-7.0966,2.9123,4.9569,9.5699,7.1814,9.7985,0.1485,16.5989,30,30.0125,Treadmill,0,0
aIxt7rVo8JPl7CKHWwBNghHqDw72,1774318790072,1774318820053,W1_1774318760081,100.2352,10.5743,78.9474,125.0000,46.0526,-0.2475,0.8125,65.1526,88.7361,42.1875,605.4000,0.1076,343.7299,1112.4362,0.3090,1456.1661,80.7665,63.0100,6.7113,4.1470,-7.7437,2.0492,9.2484,3.8470,2.7995,9.8522,0.1898,14.8010,26,26.0165,Treadmill,0,0
aIxt7rVo8JPl7CKHWwBNghHqDw72,1774318805090,1774318835073,W2_1774318775081,101.1514,12.6582,77.4194,125.0000,47.5806,0.4346,0.7326,76.5780,98.1197,46.7742,602.6667,0.1271,478.8396,479.2188,0.9992,958.0584,81.6625,51.6903,7.7482,4.2975,-4.2259,3.0435,12.6008,30.5601,8.9009,9.8499,0.6307,15.7794,57,57.0333,Treadmill,0,0
aIxt7rVo8JPl7CKHWwBNghHqDw72,1774318820086,1774318850056,W3_1774318790081,102.8151,11.3183,77.4194,125.0000,47.5806,0.3725,0.7556,66.4037,74.9899,32.8358,590.8088,0.1124,908.7071,3367.5978,0.2698,4276.3048,84.0241,50.5735,7.3703,3.2475,-0.6435,4.9817,12.0345,38.4796,12.2760,9.8440,1.6632,24.6372,53,53.0531,Treadmill,0,0
aIxt7rVo8JPl7CKHWwBNghHqDw72,1774318835079,1774318865063,W4_1774318805081,108.4498,11.1155,83.3333,136.3636,53.0303,0.1069,0.6421,57.9560,72.1986,36.6667,559.1311,0.1037,268.0284,3077.8892,0.0871,3345.9176,83.4384,50.0000,9.2869,3.0282,1.2974,6.1786,13.0667,29.4092,8.9002,9.8854,2.6830,24.6372,83,83.0457,Treadmill,0,0
aIxt7rVo8JPl7CKHWwBNghHqDw72,1774318850072,1774318880051,W5_1774318820081,107.9140,12.1334,77.4194,136.3636,58.9443,0.0882,0.7009,67.2163,93.2970,40.5405,563.4400,0.1193,160.0870,2158.0051,0.0742,2318.0920,83.3100,50.0000,8.6862,3.6554,-0.0030,5.5265,8.9827,34.4424,12.4885,9.8710,2.3802,24.6372,92,92.0644,Treadmill,0,0
aIxt7rVo8JPl7CKHWwBNghHqDw72,1774318865093,1774318895073,W6_1774318835081,105.6624,12.2989,78.9474,136.3636,57.4163,-0.0186,0.6932,68.6216,96.0226,45.0000,575.7049,0.1192,1274.3423,6600.7808,0.1931,7875.1231,83.2379,50.0000,8.9220,3.1212,-1.3065,5.3339,10.6391,34.4305,15.0706,9.8762,2.5011,24.6372,69,69.0460,Treadmill,0,0
aIxt7rVo8JPl7CKHWwBNghHqDw72,1774318880076,1774318910056,W7_1774318850081,106.3774,13.9614,78.9474,136.3636,57.4163,-0.1451,0.7326,76.6826,107.0439,53.2258,573.9365,0.1336,800.3896,5244.1118,0.1526,6044.5015,82.4198,50.0000,8.6095,1.5055,-4.1228,5.1487,19.7923,19.7015,13.9495,9.8618,1.9595,19.4228,75,75.0500,Treadmill,0,0
aIxt7rVo8JPl7CKHWwBNghHqDw72,1774318895075,1774318925047,W8_1774318865081,107.8306,12.2544,78.9474,136.3636,57.4163,0.2548,0.7931,67.1898,90.2783,41.1765,563.9710,0.1191,946.5734,3289.8184,0.2877,4236.3918,83.6212,71.2857,4.0589,-0.8994,-5.2814,5.9622,14.4103,6.6856,10.8682,9.7560,1.0346,17.4042,70,70.0654,Treadmill,0,0
aIxt7rVo8JPl7CKHWwBNghHqDw72,1774318910083,1774318940076,W9_1774318880081,115.0590,15.3226,88.2353,150.0000,61.7647,0.7010,0.7188,68.9067,85.9518,33.8235,530.5507,0.1299,136.2835,1067.0376,0.1277,1203.3211,83.4951,71.2854,3.5808,-1.8735,-6.5934,5.7837,9.8819,26.4231,10.7439,10.5391,16.4108,32.0826,91,91.0228,Treadmill,0,0
