user_id,timestamp,timestamp_end,sequence_id,mean_hr_bpm,hr_std_bpm,hr_min_bpm,hr_max_bpm,hr_range_bpm,hr_slope_bpm_per_s,nn_quality_ratio,sdnn_ms,rmssd_ms,pnn50_pct,mean_nn_ms,cv_nn,lf_power_ms2,hf_power_ms2,lf_hf_ratio,total_power_ms2,spo2_mean_pct,spo2_min_pct,spo2_std_pct,accel_x_mean,accel_y_mean,accel_z_mean,accel_x_var,accel_y_var,accel_z_var,accel_mag_mean,accel_mag_var,accel_peak,total_steps,cadence_spm,activity_label,fatigue_level,rpe_raw
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788729129,1773788759117,W0_1773788699141,78.6815,10.1487,62.3053,107.1429,44.8376,-0.1677,0.7375,93.7874,123.6664,51.7241,774.5085,0.1211,3142.0305,3729.9193,0.8424,6871.9498,77.9886,50.0,11.5157,0.7843,-2.8336,3.0739,21.7575,33.7186,23.4813,9.8026,0.9588,23.1105,58.0,58.0232,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788744138,1773788774131,W1_1773788714141,77.3478,10.3303,62.3053,107.1429,44.8376,0.2636,0.7183,96.8871,122.4356,54.0,788.4706,0.1229,2634.9608,9306.1026,0.2831,11941.0634,80.2211,50.0,11.2638,-0.9825,-2.3721,3.4882,2.8648,45.8315,28.9707,9.7776,0.8262,23.1105,54.0,54.0135,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788759132,1773788789123,W2_1773788729141,78.6675,9.2901,62.3053,107.1429,44.8376,0.0503,0.7,84.0008,110.8319,56.25,772.4694,0.1087,1318.2527,3885.6198,0.3393,5203.8725,79.8856,50.0,10.7398,-2.9483,-2.7025,1.6648,16.3758,43.2461,19.8802,9.8703,0.846,23.1105,50.0,50.0158,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788774130,1773788804119,W3_1773788744141,78.0878,9.1078,62.5,107.1429,44.6429,-0.0809,0.7101,85.3927,110.5036,62.5,778.1837,0.1097,3247.5774,3874.5968,0.8382,7122.1743,81.6312,50.0,9.9785,-5.2153,-2.3259,1.1854,19.1232,33.3912,13.5633,9.9382,1.3241,24.3238,37.0,37.0136,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788789141,1773788819126,W4_1773788759141,80.4406,10.7969,62.5,107.1429,44.6429,0.016,0.6912,93.9733,120.352,65.2174,758.3404,0.1239,1809.9386,4681.0385,0.3867,6490.9771,82.3961,52.2925,6.8528,-6.0476,1.5309,4.4505,13.6712,12.579,12.7089,9.8068,1.5093,24.3238,35.0,35.0181,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788804145,1773788834119,W5_1773788774141,78.4603,9.3284,62.5,107.1429,44.6429,0.0467,0.7342,88.3346,123.4724,59.6491,775.0862,0.114,2416.9149,6021.5288,0.4014,8438.4437,81.95,52.258,6.9476,-5.4118,1.6386,5.2215,13.5412,9.9744,13.5475,9.7481,1.2746,24.3238,37.0,37.0321,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788819143,1773788849124,W6_1773788789141,83.1512,13.5613,65.2174,115.3846,50.1672,0.2,0.7671,110.1759,167.6445,69.0909,739.2679,0.149,633.4184,8722.1502,0.0726,9355.5687,82.1217,66.3122,4.3213,-4.5761,1.6925,6.2758,9.898,11.0512,11.3948,9.7052,1.3445,24.3238,33.0,33.0215,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788834142,1773788864126,W7_1773788804141,89.192,12.9782,68.1818,115.3846,47.2028,0.3029,0.72,98.1762,140.6602,58.4906,686.8148,0.1429,2586.7279,8368.5176,0.3091,10955.2455,81.0444,62.0205,5.2863,-3.6291,0.675,7.2078,3.1206,20.9248,3.8869,9.6238,0.8922,26.4962,37.0,37.0204,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788849143,1773788879120,W8_1773788819141,87.8539,13.5068,65.2174,115.3846,50.1672,0.2483,0.6842,106.5661,135.3004,56.8627,699.1154,0.1524,1139.3973,9962.0741,0.1144,11101.4714,80.3741,62.0205,5.9135,-4.3736,-1.9131,6.4785,2.3976,23.1145,3.8144,9.6601,0.7676,26.4962,34.0,34.0261,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788864135,1773788894111,W9_1773788834141,93.098,12.546,68.1818,115.3846,47.2028,-0.0398,0.6104,93.0186,129.562,60.8696,656.8723,0.1416,1248.4314,4715.3285,0.2648,5963.7599,78.0988,57.6785,5.673,-5.1653,-4.1255,5.6659,0.9849,16.2578,2.8374,9.7323,1.1644,26.4962,53.0,53.0424,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788878113,1773788907063,W10_1773788849141,95.0564,14.5458,71.4286,125.0,53.5714,0.0117,0.618,99.9513,140.5688,61.1111,646.2727,0.1547,4109.4272,10487.0796,0.3919,14596.5068,76.6731,57.8926,5.0702,-5.2631,-5.3098,5.4466,0.8819,7.1588,2.3412,9.7366,1.1406,26.4962,67.0,69.4313,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788894146,1773788924127,W11_1773788864141,94.1935,15.515,71.4286,125.0,53.5714,0.2873,0.5823,106.8514,145.5401,71.1111,654.3261,0.1633,4707.8676,8523.8666,0.5523,13231.7342,76.0421,57.8926,4.5874,-5.1037,-4.9812,5.7698,2.0709,9.5712,3.0254,9.7794,3.1811,29.7049,75.0,75.0488,Treadmill,0.0,0.0
OgbaT3FX9kZ9PR7XyKD0LzUjk2k1,1773788909145,1773788939131,W12_1773788879141,96.0825,15.0768,71.4286,125.0,53.5714,0.0073,0.5854,98.7562,147.6471,78.7234,639.7292,0.1544,6850.8589,4147.6721,1.6517,10998.531,73.54,56.3835,6.0833,-4.0309,-5.5584,5.565,11.2262,21.3662,7.3944,10.3675,10.6154,29.7049,100.0,100.0484,Treadmill,0.0,0.0
