user_id,timestamp,timestamp_end,sequence_id,mean_hr_bpm,hr_std_bpm,hr_min_bpm,hr_max_bpm,hr_range_bpm,hr_slope_bpm_per_s,nn_quality_ratio,sdnn_ms,rmssd_ms,pnn50_pct,mean_nn_ms,cv_nn,lf_power_ms2,hf_power_ms2,lf_hf_ratio,total_power_ms2,spo2_mean_pct,spo2_min_pct,spo2_std_pct,accel_x_mean,accel_y_mean,accel_z_mean,accel_x_var,accel_y_var,accel_z_var,accel_mag_mean,accel_mag_var,accel_peak,total_steps,cadence_spm,activity_label,fatigue_level,rpe_raw
DiFQuLJHcnVnAAgH7PeYRBIMliv2,1773723814430,1773723844417,W0_1773723784443,99.8844,15.7062,68.1818,125.0000,56.8182,-0.3099,0.5745,112.4420,149.4642,49.0566,618.1481,0.1819,2606.8995,8918.4225,0.2923,11525.3221,76.7053,60.9260,5.1461,6.1392,-3.8084,0.6351,28.4665,29.9990,26.2334,11.0715,14.7170,45.2033,109,109.0473,Treadmill,0,0
DiFQuLJHcnVnAAgH7PeYRBIMliv2,1773723829450,1773723859420,W1_1773723799443,94.6730,17.1784,65.2174,115.3846,50.1672,-1.2016,0.4605,134.2191,182.5681,55.8824,657.9143,0.2040,594.8192,26656.0726,0.0223,27250.8918,76.8721,61.9339,5.2182,6.0547,-3.0548,1.0383,23.1206,31.9978,30.2559,10.9219,13.1563,45.2033,88,88.0881,Treadmill,0,0
DiFQuLJHcnVnAAgH7PeYRBIMliv2,1773723844437,1773723874405,W2_1773723814443,97.4392,15.6500,65.2174,116.9591,51.7417,0.3962,0.4500,119.5561,146.3947,51.4286,634.7778,0.1883,9258.9313,11158.3379,0.8298,20417.2692,74.8530,64.2814,4.8807,5.7259,-4.0947,1.1343,23.4019,31.1163,28.1047,10.9307,13.9821,45.2033,89,89.0965,Treadmill,0,0
DiFQuLJHcnVnAAgH7PeYRBIMliv2,1773723859432,1773723889404,W3_1773723829443,104.9171,15.6924,71.4286,125.0000,53.5714,0.6033,0.5057,101.5563,133.5701,53.4884,586.8409,0.1731,3190.1464,5093.8117,0.6263,8283.9581,74.4589,50.0000,5.8994,4.3176,-4.5985,3.2540,22.5080,28.3245,24.9212,10.6205,13.3361,51.6253,75,75.0713,Treadmill,0,0
DiFQuLJHcnVnAAgH7PeYRBIMliv2,1773723874449,1773723904441,W4_1773723844443,109.2886,15.5542,75.0000,136.9863,61.9863,-0.1705,0.6813,85.5905,140.1603,55.7377,560.9677,0.1526,1921.3530,10011.4448,0.1919,11932.7978,75.6299,50.0000,6.5904,3.9284,-5.0919,4.5266,10.9669,18.1371,11.9859,9.9353,4.2303,51.6253,57,57.0152,Treadmill,0,0
DiFQuLJHcnVnAAgH7PeYRBIMliv2,1773723889446,1773723919433,W5_1773723859443,109.2309,12.3562,79.4702,136.9863,57.5161,-0.1383,0.6916,63.3723,88.0346,43.8356,556.3784,0.1139,513.7091,1868.1604,0.2750,2381.8695,76.9521,50.0000,6.7873,4.1544,-5.3915,4.4903,9.7010,16.4459,9.8125,9.9184,4.0750,51.6253,59,59.0266,Treadmill,0,0
DiFQuLJHcnVnAAgH7PeYRBIMliv2,1773723904441,1773723934437,W6_1773723874443,105.8650,12.1735,75.0000,126.5823,51.5823,-0.1587,0.6824,72.6030,105.4496,49.1228,574.9828,0.1263,1654.3744,1740.5978,0.9505,3394.9721,79.6529,63.8643,5.1153,4.2884,-4.7892,5.5672,7.6902,14.9186,5.1892,9.8282,3.5257,51.6253,49,49.0065,Treadmill,0,0
DiFQuLJHcnVnAAgH7PeYRBIMliv2,1773723919435,1773723949427,W7_1773723889443,102.4517,14.4773,75.0000,126.5823,51.5823,-0.5166,0.6706,91.3794,105.3209,50.0000,598.3860,0.1527,1319.0393,1051.7935,1.2541,2370.8328,79.1423,63.2351,5.4034,3.7912,-5.7344,5.1773,7.5573,23.2429,8.6223,10.0318,12.8466,38.6916,68,68.0193,Treadmill,0,0
DiFQuLJHcnVnAAgH7PeYRBIMliv2,1773723934451,1773723964422,W8_1773723904443,96.7355,15.6434,71.4286,125.0000,53.5714,-0.5139,0.6506,103.2804,104.8503,50.9434,636.7778,0.1622,3660.2605,9640.3782,0.3797,13300.6387,77.9460,63.3317,5.3304,2.8121,-6.6750,4.8306,13.4202,45.6968,12.2499,10.6489,33.7661,43.4411,96,96.0945,Treadmill,0,0
DiFQuLJHcnVnAAgH7PeYRBIMliv2,1773723949445,1773723979417,W9_1773723919443,90.6515,16.3645,71.4286,125.0000,53.5714,-0.3620,0.6220,108.6968,129.3136,66.0000,681.2941,0.1595,2326.9680,9792.4909,0.2376,12119.4589,74.9131,63.3317,4.1285,2.5548,-7.8914,4.1444,19.3450,57.1756,15.4608,11.2839,50.6329,56.2584,128,128.1196,Treadmill,0,0
